# col1_1 col2_1     col3_1      col4_1 col5_1 col6_1 col7_1 col1_2 col3_2     col4_2      col5_2 col6_2 col7_2 col8       col9       col10    col11       col12      col13     col14       col15      col16    col17     col18      col19    col20     col21      col22    col23    col24     col25   col26    col27      col28    col29    col30     col31   col32    col33      col34   col35    col36      col37    col38   col39      col40    col41   col42     col43   col44   col45     col46    col47   col48     col49   col50   col51     col52   col53   col54    col55    col56   col57    col58   col59    col60      col61   col62      col63 col64  col65  col66 col67 col68  col69  col70 col71 col72 col73   Separation          
  1      53.1833344 -27.7763882 2.69   12.69  0.39   15768  15768  53.1833576 -27.7763826 30.19  0      0.17   0.177798   0.0224864  112737.0 0.156031    0.00776757 0.019241  0.343701    0.00529983 135812.0 0.555016  0.0032337  141193.0 0.647214  0.00377663 343039.0 0.688843 0.0220669 15413.7 0.728062 0.00708166 327584.0 -99.0    -99.0     0.0     0.772139 0.00624636 69403.3 0.953071 0.0048315  99281.5  1.31807 0.00502688 149299.0 1.7222  0.109824  172.551 1.57785 0.0283341 156.895  2.81343 0.286633  1581.73 2.77076 0.20417   1501.1  4.03602 0.55613  426396.0 3.96638 0.691172 46552.5 1.2635   0.00481878 1.31807 0.00518243 4.28  5.8    4.056  3.5   1.853 4.295  9.219  -26.5 1.043 0     678.0   0.0765968768402503  
  12     53.1573334 -27.8700008 1.6    12.37  0.98   4526   4526   53.1573424 -27.8700866 28.27  0      0.07   0.260101   0.0158514  109322.0 0.255272    0.00681079 0.0299141 0.293856    0.0252481  6458.64  0.446882  0.0135683  10642.4  0.833229  0.0331399  7423.04  0.98879  0.0254803 11622.7 1.53606  0.0383176  20823.2  -99.0    -99.0     0.0     3.1498   0.053935   2473.39 6.0914   0.0307185  4492.98  9.60912 0.0338663  5315.03  21.1038 0.0969601 114.295 -99.0   -99.0     0.0      52.518  0.104337  1237.74 89.9625 0.0923865 1001.13 151.101 0.353199 243725.0 269.419 0.357163 28389.6 9.65974  0.0340447  9.60912 0.0328879  3.82  4.511  4.423  3.5   1.555 3.43   6.606  35.5  0.995 0     831.0   0.31020511683165586 
  14     53.0602913 -27.8758335 1.87   12.2   0.5    3866   3866   53.0602949 -27.8760499 28.39  0      0.0    0.0119125  0.0164155  108977.0 0.0295218   0.00448177 0.0318969 0.0429869   0.0170706  7127.29  0.0905059 0.0129596  6921.85  0.19073   0.0258294  7037.65  0.23186  0.0206952 9559.73 0.349435 0.0295909  18003.4  -99.0    -99.0     0.0     0.641965 0.0201557  7905.11 1.08592  0.0190178  6889.55  1.82511 0.0232484  7215.94  3.67912 0.135568  81.9322 3.7028  0.0346033 118.402  10.3066 0.127684  1197.18 13.4519 0.090565  1299.09 14.9909 0.44204  200588.0 9.95654 0.462806 23348.2 1.6896   0.0215223  1.82511 0.0316091  10.34 5.046  4.287  3.93  2.91  5.342  8.834  -8.0  1.08  0     475.0   0.7791242294658857  
  15     53.1697502 -27.8238888 2.11   12.17  0.39   9474   9474   53.1697823 -27.8239387 28.6   0      0.0    0.379582   0.0190009  111906.0 0.391954    0.00919016 0.0254962 0.760471    0.00801176 118457.0 1.12405   0.00460365 129309.0 1.40871   0.00540569 301528.0 1.57335  0.0347136 12048.2 1.85058  0.0100838  307527.0 -99.0    -99.0     0.0     2.34974  0.0180333  16256.9 3.58014  0.0253233  9943.23  5.08831 0.0303591  10638.5  8.05145 0.140294  155.135 8.1671  0.0348096 280.704  14.2872 0.0807546 2185.75 16.4832 0.0933573 930.842 20.253  0.303128 372005.0 14.4215 0.328857 37337.9 4.80825  0.0286881  5.08831 0.0413119  31.94 8.919  6.53   3.78  5.561 10.066 14.74  11.0  1.058 0     1229.0  0.20667680798136023 
  19     53.0734596 -27.7641659 1.83   11.74  0.0    17397  17397  53.0733461 -27.764318  28.55  0      0.0    0.123388   0.0188917  117254.0 0.146564    0.0070248  0.0332673 0.213231    0.031077   6387.58  0.298859  0.0250372  5347.63  0.5163    0.0373059  9249.28  0.589903 0.0268345 15980.8 0.918467 0.0433462  22472.8  -99.0    -99.0     0.0     1.5467   0.0327837  7846.01 2.96758  0.0275859  8847.92  4.85621 0.033302   9440.88  8.40987 0.122935  233.999 9.18544 0.034635  296.981  21.8372 0.0880858 1817.38 27.4358 0.0579839 2427.11 27.2858 0.367304 244638.0 17.1701 0.3903   27483.5 4.6007   0.0315498  4.85621 0.0416058  20.12 10.161 6.206  3.5   5.206 10.021 16.384 9.3   1.056 0     1367.0  0.656160505507974   
  2      53.1452065 -27.7777786 1.1    11.61  0.17   15775  15775  53.1452377 -27.7779058 30.1   0      0.03   0.288208   0.0173737  109912.0 0.285386    0.00725141 0.0340565 0.309176    0.00828812 127367.0 0.763     0.00536011 135715.0 1.68364   0.00650769 325308.0 2.03721  0.026853  31387.7 3.01043  0.0125299  319948.0 -99.0    -99.0     0.0     3.94339  0.0119943  59237.1 5.82724  0.00953991 80498.5  7.65382 0.00979184 121212.0 14.8717 0.0980441 217.261 13.9648 0.0239807 267.337  23.583  0.0916122 2228.27 19.2813 0.0880265 1346.0  14.7074 0.321908 399144.0 16.7626 0.346543 41166.1 7.84643  0.0100382  7.65382 0.00816869 7.46  6.614  6.016  3.5   2.519 4.961  8.945  -77.0 0.975 0     2433.0  0.46857912088357856 
  20     53.1982498 -27.7477779 1.91   12.6   0.25   19329  19329  53.1983336 -27.7478003 28.47  0      0.0    0.0857198  0.0184629  111705.0 0.0666475   0.00586659 0.0315557 0.116389    0.0252442  7689.38  0.243593  0.019231   6599.08  0.43344   0.021765   20313.3  0.526653 0.0297049 11222.9 0.741628 0.0455234  15374.1  -99.0    -99.0     0.0     1.27997  0.0208255  8547.47 2.40477  0.0250935  7952.72  3.77032 0.0306798  8364.5   6.71122 0.127733  124.07  6.71287 0.0397144 163.043  16.3568 0.12957   1056.15 20.8772 0.103303  937.449 25.2188 0.411859 231666.0 16.5223 0.48252  20483.8 3.52225  0.0286612  3.77032 0.0413466  23.14 8.542  5.432  3.78  4.595 8.4    14.085 -63.6 1.07  0     977.0   0.27890081332248595 
  21     53.1761246 -27.7961102 0.99   11.46  0.0    12887  12887  53.1761932 -27.7961369 28.59  0      0.0    2.33834    0.0198271  113275.0 2.38799     0.0156359  0.0332252 2.55334     0.011653   128190.0 4.26021   0.00669462 136917.0 8.04176   0.00851553 333695.0 8.9828   0.0456825 19202.4 11.636   0.0172734  338921.0 -99.0    -99.0     0.0     13.0852  0.0378577  8102.5  16.738   0.0355586  9665.97  19.0968 0.0409038  10524.4  29.0809 0.149357  202.646 28.6709 0.047408  185.573  41.5786 0.0952526 1628.64 30.092  0.0793756 1357.11 24.6903 0.28457  431935.0 24.3904 0.296654 49103.6 18.9221  0.0405296  19.0968 0.0456341  21.04 9.529  8.058  3.5   5.296 10.374 15.569 -1.0  1.009 0     2289.0  0.23867453627417254 
  22     53.0835419 -27.7463894 1.9    12.37  0.84   19476  19476  53.0835369 -27.7464307 28.49  0      0.03   0.135329   0.0169635  114608.0 0.14134     0.00579106 0.0420086 0.196784    0.0268887  7370.59  0.356594  0.0217928  5878.13  0.61167   0.0333087  9516.28  0.652813 0.0294747 11952.7 0.910026 0.0405037  22537.5  0.983648 0.038402  6349.13 -99.0    -99.0      0.0     2.67308  0.0257319  6451.93  4.63703 0.0320945  6462.89  5.60089 0.0898196 222.424 5.57809 0.0627626 41.9589  11.848  0.0685106 3100.13 15.3039 0.0431726 4398.7  20.8248 0.373786 244638.0 31.4603 0.394604 27247.5 4.5072   0.0311959  4.63703 0.0349481  4.72  7.017  5.624  3.5   2.217 5.407  11.9   -48.2 1.029 0     1200.0  0.1495309898979726  
  23     53.0717926 -27.8436108 1.96   12.35  0.0    7184   7184   53.071694  -27.8436313 28.6   0      0.0    0.0244489  0.0167664  114035.0 0.0224592   0.00521195 0.0366387 0.0531198   0.0258228  6489.97  0.131251  0.0153667  9334.48  0.205348  0.0294592  10061.7  0.286324 0.0205646 17371.5 0.391452 0.0312761  30777.7  -99.0    -99.0     0.0     0.789348 0.0281216  7666.31 1.90669  0.0217173  9789.85  3.37455 0.0268125  10139.7  6.41868 0.115693  150.795 6.8691  0.0382564 159.824  18.0823 0.0633628 3348.56 22.3257 0.0768426 1330.81 25.6738 0.291532 372355.0 16.1545 0.317108 39085.1 3.16958  0.0251839  3.37455 0.0339096  9.59  6.752  6.278  3.64  3.771 8.154  12.684 68.6  1.065 0     948.0   0.32242442789012454 
